playerDisplayName,playerFirstName,playerLastName,playerPrimaryPosition,sessionTitle,sessionType,sessionDayOfWeek,sessionWeekNo,sessionEndTime,sessionStartTime,sessionDate,drillTitle,drillStartTime,drillEndTime,drillDate,totalTime,distanceTotal,distancePerMin,highSpeedRunningAbs,hsrAbsPerMin,maxSpeed,playerMaxSpeed,accelerationsAbs,accelImpulseTotal,accelsPerMinAbs,maxAcceleration,playerMaxAccel,decelerationsAbs,decelsPerMinAbs,decelsPerMinRel,maxDeceleration,playerMaxDecel,hmld,effortsNumber,hmldPerMin,dynamicLoadAnt,dynamicLoadLat,dynamicLoadVert,hrexertion,hrLoad,maxHeartrate,stepBalance,DrillTitle_Clean,Period15,Half,GameKey,DrillOrder,Home_Team_CLEAN,Away_Team_CLEAN,sessionDate_clean,DateKey,Home_Team_STD,Away_Team_STD,sessionTitle_STD
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st Half ET,8:45:20PM,8:48:57PM,10/18/2025,3.62,367.64,101.6,45.89,12.68,24.06,34.56,5,75.1,1.38,5.5,6.03,3,0.83,0.83,4.26,7.44,113.55,7,31.38,1.66,1.63,2.73,2.31,3.41,131,-0.09,1st Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,2nd half,9:06:06PM,9:44:43PM,10/18/2025,38.61,3140.36,81.33,260.43,6.74,30.59,34.56,17,68.7,0.44,5.6,6.03,24,0.62,0.62,6.88,7.44,612.2,60,15.86,12.43,13.1,21.73,44.39,74.14,157,-0.05,2nd Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,45-60,9:06:07PM,9:21:20PM,10/18/2025,15.22,1492.3,98.06,173.84,11.42,30.59,34.56,10,78.25,0.66,4.62,6.03,15,0.99,0.99,5.49,7.44,372.53,34,24.48,6.31,6.91,11.23,16.65,27.8,157,-0.06,45-60,45-60,Second Half,20251018|PANETOLIKOS|OFI CRETE,4,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,60-75,9:21:11PM,9:36:20PM,10/18/2025,15.15,1064.47,70.25,62.49,4.12,30.32,34.56,3,62.4,0.2,5.6,6.03,6,0.4,0.4,6.17,7.44,151.32,16,9.99,3.84,3.88,6.72,17.22,29.01,157,-0.04,60-75,60-75,Second Half,20251018|PANETOLIKOS|OFI CRETE,5,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
35 Mavrias,Charis,Mavrias,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,75-90,9:36:20PM,9:51:25PM,10/18/2025,15.08,597.98,39.64,24.11,1.6,29.27,34.56,4,38.36,0.27,4.12,6.03,3,0.2,0.2,6.88,7.44,88.35,10,5.86,2.63,2.62,4.16,14.33,21.93,154,-0.05,75-90,75-90,Second Half,20251018|PANETOLIKOS|OFI CRETE,6,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,Entire Session,7:57:57PM,10:00:43PM,10/18/2025,122.75,9040.09,73.64,399.5,3.25,38.95,34.34,70,65.85,0.57,7.49,6.25,78,0.64,0.64,8.48,9.14,1618.66,186,13.19,38.78,42.2,77.73,403.73,414.99,191,0.06,Entire Session,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-Jan,8:00:01PM,8:15:10PM,10/18/2025,15.15,1617.2,106.73,55.25,3.65,26.56,34.34,20,93.83,1.32,5.16,6.25,13,0.86,0.86,4.57,9.14,290.01,40,19.14,6.99,7.52,14.62,72.2,66.44,188,0.09,0-15,0-15,First Half,20251018|PANETOLIKOS|OFI CRETE,1,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st half,8:00:01PM,8:49:12PM,10/18/2025,49.18,5189.06,105.5,196.51,4,27.3,34.34,47,88.24,0.96,5.74,6.25,46,0.94,0.94,7.45,9.14,988.15,115,20.09,21.75,23.76,45.77,234.47,216.2,191,0.06,1st Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-30,8:15:10PM,8:30:15PM,10/18/2025,15.09,1653.28,109.6,54.34,3.6,27.3,34.34,13,90.77,0.86,3.94,6.25,12,0.8,0.8,5.44,9.14,327.24,35,21.69,6.7,7.29,14.39,75.42,67.96,191,0.06,15-30,15-30,First Half,20251018|PANETOLIKOS|OFI CRETE,2,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,30-45,8:30:15PM,8:45:20PM,10/18/2025,15.08,1494.32,99.06,69.67,4.62,25.43,34.34,10,79.58,0.66,4.89,6.25,15,0.99,0.99,5.79,9.14,300.65,31,19.93,6.19,6.88,12.85,68.62,64.94,189,0.01,30-45,30-45,First Half,20251018|PANETOLIKOS|OFI CRETE,3,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st Half ET,8:45:20PM,8:48:57PM,10/18/2025,3.62,410.97,113.58,17.25,4.77,25.35,34.34,4,92.97,1.11,5.74,6.25,6,1.66,1.66,7.45,9.14,70.67,8,19.53,1.84,2.04,3.84,16.85,15.68,187,0.05,1st Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,2nd half,9:06:06PM,9:46:59PM,10/18/2025,40.88,3104.33,75.93,165.38,4.05,30.37,34.34,20,70.69,0.49,6.33,6.25,27,0.66,0.66,5.72,9.14,575.53,66,14.08,13.83,15.09,26.8,138.11,149.56,186,0.06,2nd Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,45-60,9:06:07PM,9:21:20PM,10/18/2025,15.22,1265.86,83.18,57.25,3.76,24.63,34.34,11,75.13,0.72,5.33,6.25,14,0.92,0.92,5.72,9.14,241.13,29,15.84,5.83,6.41,11.49,59.61,60.47,185,0.07,45-60,45-60,Second Half,20251018|PANETOLIKOS|OFI CRETE,4,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,60-75,9:21:11PM,9:36:20PM,10/18/2025,15.15,1031.71,68.09,79.64,5.26,25.72,34.34,6,64.97,0.4,4.79,6.25,5,0.33,0.33,5.33,9.14,197.71,19,13.05,4.42,4.79,8.43,36.88,47.14,181,0.03,60-75,60-75,Second Half,20251018|PANETOLIKOS|OFI CRETE,5,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,75-90,9:36:20PM,9:51:25PM,10/18/2025,15.08,869.84,57.66,28.5,1.89,30.37,34.34,3,61.66,0.2,6.33,6.25,8,0.53,0.53,4.1,9.14,136.69,18,9.06,3.68,3.99,7,44.74,46.95,186,0.09,75-90,75-90,Second Half,20251018|PANETOLIKOS|OFI CRETE,6,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
49 Stajic,Nikola,Stajic,Central Defender,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,2nd Half ET,9:51:25PM,10:00:43PM,10/18/2025,9.3,87.48,9.4,0,0,7.67,34.34,0,17.1,0,1.94,6.25,0,0,0,2.39,9.14,0,0,0,0.61,0.69,0.86,6.28,9.65,127,-0.08,2nd Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,Entire Session,7:57:58PM,10:05:48PM,10/18/2025,127.82,9857.5,77.12,537.03,4.2,28.42,32.8,73,63.42,0.57,7.96,6.57,71,0.56,0.56,5.42,6.95,1600.91,175,12.52,40.9,35.81,71.76,338.46,370.53,187,-0.03,Entire Session,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-Jan,8:00:01PM,8:15:10PM,10/18/2025,15.15,1597.47,105.43,73.06,4.82,27.38,32.8,15,88.69,0.99,4.66,6.57,8,0.53,0.53,4.87,6.95,315.81,38,20.84,7.57,6.29,12.84,66.43,62.15,182,-0.04,0-15,0-15,First Half,20251018|PANETOLIKOS|OFI CRETE,1,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st half,8:00:01PM,8:49:12PM,10/18/2025,49.18,5063.4,102.95,332.49,6.76,28.07,32.8,48,81.43,0.98,5.49,6.57,41,0.83,0.83,5.42,6.95,1009.17,111,20.52,21.52,18.61,38.15,210.4,202.69,187,-0.03,1st Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-30,8:15:10PM,8:30:15PM,10/18/2025,15.09,1637.52,108.55,120.89,8.01,28.07,32.8,15,84.56,0.99,5.49,6.57,17,1.13,1.13,4.67,6.95,324.56,34,21.52,6.75,5.86,12.46,68.43,64.72,187,-0.05,15-30,15-30,First Half,20251018|PANETOLIKOS|OFI CRETE,2,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,30-45,8:30:15PM,8:45:20PM,10/18/2025,15.08,1454,96.39,137.99,9.15,27.42,32.8,15,71.79,0.99,5.02,6.57,13,0.86,0.86,5.42,6.95,323.03,31,21.41,5.83,5.31,10.37,63.68,62.13,181,-0.01,30-45,30-45,First Half,20251018|PANETOLIKOS|OFI CRETE,3,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st Half ET,8:45:20PM,8:48:57PM,10/18/2025,3.62,351.68,97.19,0.55,0.15,19.8,32.8,3,79.88,0.83,4.12,6.57,3,0.83,0.83,4.63,6.95,45.77,8,12.65,1.33,1.12,2.4,11.5,13.09,169,-0.02,1st Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,2nd half,9:06:06PM,10:01:03PM,10/18/2025,54.95,3941.25,71.73,202.3,3.68,28.42,32.8,21,63.36,0.38,5.06,6.57,27,0.49,0.49,5.01,6.95,577.13,63,10.5,16.66,14.73,29.6,114.23,150.19,177,-0.03,2nd Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,45-60,9:06:07PM,9:21:20PM,10/18/2025,15.22,1108.98,72.87,31.67,2.08,22.27,32.8,8,64.68,0.53,4.8,6.57,10,0.66,0.66,4.6,6.95,171.93,24,11.3,4.84,4.31,8.68,35.38,44.89,167,-0.03,45-60,45-60,Second Half,20251018|PANETOLIKOS|OFI CRETE,4,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,60-75,9:21:11PM,9:36:20PM,10/18/2025,15.15,853.1,56.3,95.33,6.29,28.42,32.8,3,48.13,0.2,4.04,6.57,5,0.33,0.33,5.01,6.95,145.2,10,9.58,3.52,2.97,6.15,19.85,28.89,170,-0.06,60-75,60-75,Second Half,20251018|PANETOLIKOS|OFI CRETE,5,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,75-90,9:36:20PM,9:51:25PM,10/18/2025,15.08,1289.16,85.46,62.78,4.16,27.35,32.8,8,73.61,0.53,5.06,6.57,7,0.46,0.46,4.64,6.95,192.41,21,12.75,5.43,4.79,9.58,35.67,46.7,177,-0.03,75-90,75-90,Second Half,20251018|PANETOLIKOS|OFI CRETE,6,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
15 Manrique,Christian ,Manrique,Full Back,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,2nd Half ET,9:51:25PM,10:01:00PM,10/18/2025,9.58,685.79,71.55,12.51,1.31,23.36,32.8,2,68.34,0.21,4,6.57,5,0.52,0.52,4.74,6.95,67.59,8,7.05,2.87,2.65,5.18,23.41,29.82,173,0.02,2nd Half ET,ET,ET,20251018|PANETOLIKOS|OFI CRETE,7,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
22 Esteban,Diego ,Esteban,Offensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,Entire Session,7:58:55PM,10:14:47PM,10/18/2025,135.79,11703.28,86.19,1346.04,9.91,40.64,33.36,112,64.25,0.82,8.62,6.26,140,1.03,1.03,8.72,7.3,2771.63,247,20.41,49.64,49.55,97.96,427.25,418.16,194,0.05,Entire Session,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
22 Esteban,Diego ,Esteban,Offensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,15-Jan,8:00:01PM,8:15:10PM,10/18/2025,15.15,1870.31,123.44,173.09,11.42,27.35,33.36,9,86.59,0.59,4.95,6.26,20,1.32,1.32,5.21,7.3,439.37,44,29,8.84,8.84,18.44,74.79,65.15,191,0.05,0-15,0-15,First Half,20251018|PANETOLIKOS|OFI CRETE,1,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
22 Esteban,Diego ,Esteban,Offensive Midfielder,Panetolikos - OFI Crete,Match Day,Saturday,42,10:22:37PM,7:56:57PM,10/18/2025,1st half,8:00:01PM,8:49:12PM,10/18/2025,49.18,5986.79,121.72,655.75,13.33,28.66,33.36,45,87.78,0.91,5.3,6.26,71,1.44,1.44,6.47,7.3,1462.91,145,29.74,27.29,26.91,56.18,259.36,220.44,194,0.05,1st Half,,,20251018|PANETOLIKOS|OFI CRETE,,PANETOLIKOS,OFI CRETE,10/18/2025,20251018,PANETOLIKOS,OFI CRETE,PANETOLIKOS - OFI CRETE
